code,name,archive_tag,ticker,hsi_from_archive,hscei_from_list,label,correct_label
1860,MOBVISTA,N/A,1860.HK,N,N,N/A,
1866,CHINA XLX FERT,N/A,1866.HK,N,N,N/A,
1873,VIVA BIOTECH,N/A,1873.HK,N,N,N/A,
1875,BIODLINK-B,N/A,1875.HK,N,N,N/A,
1876,BUD APAC,N/A,1876.HK,N,N,N/A,
1877,JUNSHI BIO,N/A,1877.HK,N,N,N/A,
1879,XIZHI TECH-P,N/A,1879.HK,N,N,N/A,
1880,CTG DUTY-FREE,N/A,1880.HK,N,N,N/A,
1882,HAITIAN INT'L,N/A,1882.HK,N,N,N/A,
1888,KB LAMINATES,N/A,1888.HK,N,N,N/A,
1896,MAOYAN ENT,N/A,1896.HK,N,N,N/A,
1898,CHINA COAL,N/A,1898.HK,N,N,N/A,
1907,CHINA RISUN GP,N/A,1907.HK,N,N,N/A,
1908,C&D INTL GROUP,N/A,1908.HK,N,N,N/A,
1910,SAMSONITE,N/A,1910.HK,N,N,N/A,
1913,PRADA,N/A,1913.HK,N,N,N/A,
1918,SUNAC,N/A,1918.HK,N,N,N/A,
1919,COSCO SHIP HOLD,N/A,1919.HK,N,N,N/A,
1921,DALIPAL HLDG,N/A,1921.HK,N,N,N/A,
1928,SANDS CHINA LTD,HSI,1928.HK,Y,N,HSI,
1929,CHOW TAI FOOK,N/A,1929.HK,N,N,N/A,
1951,JXR,N/A,1951.HK,N,N,N/A,
1952,EVEREST MED,N/A,1952.HK,N,N,N/A,
1953,RIMBACO,N/A,1953.HK,N,N,N/A,
1963,BCQ,N/A,1963.HK,N,N,N/A,
1972,SWIREPROPERTIES,HSI,1972.HK,Y,N,HSI,
1988,MINSHENG BANK,N/A,1988.HK,N,N,N/A,
1989,DELTON,N/A,1989.HK,N,N,N/A,
1997,WHARF REIC,N/A,1997.HK,N,N,N/A,
1999,MAN WAH HLDGS,N/A,1999.HK,N,N,N/A,
2007,COUNTRY GARDEN,N/A,2007.HK,N,N,N/A,
2013,WEIMOB INC,N/A,2013.HK,N,N,N/A,
2015,LI AUTO-W,HSI,2015.HK,Y,Y,BOTH,
2016,CZBANK,N/A,2016.HK,N,N,N/A,
2018,AAC TECH,N/A,2018.HK,N,N,N/A,
2020,ANTA SPORTS,HSI,2020.HK,Y,Y,BOTH,
2026,PONY-W,N/A,2026.HK,N,N,N/A,
2038,FIH,N/A,2038.HK,N,N,N/A,
2039,CIMC,N/A,2039.HK,N,N,N/A,
2050,SANHUA,N/A,2050.HK,N,N,N/A,
