3698,HUISHANG BANK,N/A
3738,VOBILE GROUP,N/A
3750,CATL,HSI
3759,PHARMARON,N/A
3788,HANKING GOLD,N/A
3800,GCL TECH,N/A
3808,SINOTRUK,N/A
3816,KFM KINGDOM,N/A
3833,XINXIN MINING,N/A
3858,JIAXIN INTL RES,N/A
3866,BQD,N/A
3877,CSSC SHIPPING,N/A
3881,CIDI,N/A
3888,KINGSOFT,N/A
3896,KINGSOFT CLOUD,N/A
3898,TIMES ELECTRIC,N/A
3899,CIMC ENRIC,N/A
3900,GREENTOWN CHINA,N/A
3908,CICC,N/A
3918,NAGACORP,N/A
3931,CALB,N/A
3933,UNITED LAB,N/A
3939,WANGUO GOLD GP,N/A
3958,DFZQ,N/A
3968,CM BANK,HSI
3986,GIGADEVICE,N/A
3988,BANK OF CHINA,HSI
3993,CMOC,N/A
3996,CH ENERGY ENG,N/A
3998,BOSIDENG,N/A
6030,CITIC SEC,N/A
6031,SANY HEAVY IND,N/A
6049,POLY PPT SER,N/A
6051,YOUZAN,N/A
6055,CTIHK,N/A
6060,ZA ONLINE,N/A
6066,CSC,N/A
6069,SY HOLDINGS,N/A
6078,HYGEIA HEALTH,N/A
6082,BIREN TECH,N/A
6088,FIT HON TENG,N/A
6090,BUTONG GROUP,N/A
6098,CG SERVICES,N/A
6099,CMSC,N/A
6127,JOINN,N/A
6160,BEONE MEDICINES,HSI
6166,CIG,N/A
6168,ZHOU LIU FU,N/A
6178,EB SECURITIES,N/A
6181,LAOPU GOLD,N/A
6185,CANSINOBIO,N/A
6186,CHINA FEIHE,N/A
6196,BANKOFZHENGZHOU,N/A
6198,QINGDAO PORT,N/A
6600,ONEROBOTICS,N/A
6603,IFBH,N/A
6613,LENS,N/A
6618,JD HEALTH,HSI
6636,EXTREME VISION,N/A
6651,51WORLD,N/A
6655,HX BLDG MAT,N/A
6656,SIGENERGY,N/A
6660,AIM VACCINE,N/A
6666,EVERG SERVICES,N/A
6680,JLMAG,N/A
6681,BRAINAURORA-B,N/A
6682,PHANCY,N/A
6683,STARPLUS LEGEND,N/A
6687,JST GROUP,N/A
6690,HAIER SMARTHOME,HSI
6693,CHIFENG GOLD,N/A
6699,ANGELALIGN,N/A
6806,SWHY,N/A
6809,MONTAGE TECH,N/A
6810,SUNMI TECH-W,N/A
6818,CEB BANK,N/A
6821,ASYMCHEM,N/A
6823,HKT-SS,N/A
6831,GREEN TEA GROUP,N/A
6855,ASCENTAGE-B,N/A
6862,HAIDILAO,N/A
6865,FLAT GLASS,N/A
6869,YOFC,N/A
6881,CGS,N/A
